Date,Open,High,Low,Close,Volume
4-May-16,2.75,2.75,2.67,2.74,132700
3-May-16,2.83,2.85,2.73,2.73,77600
2-May-16,2.80,2.86,2.78,2.81,90100
29-Apr-16,3.00,3.00,2.80,2.80,392100
28-Apr-16,3.10,3.12,3.00,3.00,75000
27-Apr-16,2.97,3.07,2.96,3.07,257100
26-Apr-16,2.96,3.02,2.90,3.01,243200
25-Apr-16,3.02,3.06,2.93,2.96,273900
22-Apr-16,2.97,3.02,2.90,3.02,143200
20-Apr-16,2.93,2.96,2.89,2.95,81600
19-Apr-16,2.86,2.94,2.82,2.93,93900
18-Apr-16,2.85,2.94,2.82,2.86,141400
15-Apr-16,2.78,2.85,2.78,2.81,151400
14-Apr-16,2.86,2.87,2.75,2.77,118700
13-Apr-16,2.79,2.86,2.76,2.82,266800
12-Apr-16,2.73,2.79,2.70,2.77,256000
11-Apr-16,2.81,2.81,2.69,2.71,150800
8-Apr-16,2.82,2.92,2.75,2.81,92100
7-Apr-16,2.91,2.91,2.80,2.80,210100
6-Apr-16,3.09,3.09,2.85,2.86,136600
5-Apr-16,3.06,3.06,3.00,3.00,211900
4-Apr-16,3.05,3.08,3.03,3.06,74100
1-Apr-16,3.10,3.15,3.03,3.04,191100
31-Mar-16,3.25,3.26,3.08,3.08,281900
30-Mar-16,3.37,3.49,3.25,3.25,145400
29-Mar-16,3.33,3.39,3.33,3.35,174000
28-Mar-16,3.37,3.40,3.33,3.36,33500
24-Mar-16,3.45,3.45,3.35,3.37,26000
23-Mar-16,3.44,3.55,3.39,3.40,76000
22-Mar-16,3.48,3.52,3.44,3.49,100700
21-Mar-16,3.44,3.54,3.44,3.54,28000
18-Mar-16,3.42,3.52,3.41,3.50,73600
17-Mar-16,3.46,3.52,3.37,3.42,84300
16-Mar-16,3.31,3.46,3.31,3.46,67200
15-Mar-16,3.49,3.51,3.31,3.36,173400
14-Mar-16,3.35,3.45,3.35,3.45,52200
11-Mar-16,3.44,3.44,3.34,3.34,81500
10-Mar-16,3.48,3.49,3.31,3.43,74900
9-Mar-16,3.60,3.63,3.48,3.48,95500
8-Mar-16,3.54,3.60,3.43,3.60,214800
7-Mar-16,3.41,3.53,3.38,3.53,174000
4-Mar-16,3.15,3.46,3.05,3.36,200100
3-Mar-16,3.46,3.46,3.16,3.46,242500
2-Mar-16,3.48,3.48,3.34,3.46,82100
1-Mar-16,3.40,3.47,3.34,3.46,44000
29-Feb-16,3.41,3.42,3.25,3.38,87600
26-Feb-16,3.35,3.42,3.35,3.41,28700
25-Feb-16,3.40,3.40,3.30,3.35,29400
24-Feb-16,3.40,3.41,3.35,3.35,41300
23-Feb-16,3.45,3.45,3.40,3.45,19400
22-Feb-16,3.40,3.48,3.38,3.45,48600
19-Feb-16,3.41,3.41,3.35,3.39,14500
18-Feb-16,3.33,3.41,3.33,3.41,10000
17-Feb-16,3.35,3.37,3.32,3.37,47300
16-Feb-16,3.33,3.36,3.28,3.36,67600
15-Feb-16,3.28,3.37,3.25,3.31,35900
12-Feb-16,3.27,3.29,3.21,3.23,35100
11-Feb-16,3.38,3.38,3.25,3.27,39800
10-Feb-16,3.26,3.32,3.25,3.32,17800
5-Feb-16,3.26,3.29,3.23,3.29,26800
4-Feb-16,3.34,3.34,3.17,3.25,214100
3-Feb-16,3.34,3.39,3.23,3.37,471300
2-Feb-16,3.60,3.60,3.34,3.35,180200
1-Feb-16,3.61,3.65,3.48,3.54,40400
29-Jan-16,3.47,3.68,3.47,3.68,44000
28-Jan-16,3.45,3.51,3.38,3.50,53900
27-Jan-16,3.40,3.48,3.31,3.48,43900
26-Jan-16,3.35,3.45,3.33,3.37,74600
22-Jan-16,3.40,3.45,3.32,3.43,287700
21-Jan-16,3.13,3.43,3.10,3.43,188700
20-Jan-16,3.17,3.18,3.07,3.17,61200
19-Jan-16,3.19,3.24,3.13,3.18,111100
18-Jan-16,3.12,3.20,3.11,3.11,153700
15-Jan-16,3.19,3.21,3.06,3.20,231700
14-Jan-16,3.32,3.34,3.00,3.21,533200
13-Jan-16,3.40,3.44,3.33,3.33,46000
12-Jan-16,3.40,3.48,3.33,3.41,42300
11-Jan-16,3.52,3.53,3.35,3.36,71300
8-Jan-16,3.59,3.62,3.52,3.52,77800
7-Jan-16,3.70,3.70,3.54,3.55,121000
6-Jan-16,3.62,3.72,3.62,3.70,34700
5-Jan-16,3.67,3.68,3.61,3.67,56900
4-Jan-16,3.81,3.81,3.60,3.60,59500
30-Dec-15,3.74,3.84,3.74,3.81,62400
29-Dec-15,3.74,3.77,3.64,3.74,101000
28-Dec-15,3.68,3.75,3.67,3.73,41100
23-Dec-15,3.67,3.72,3.65,3.72,38600
22-Dec-15,3.58,3.70,3.58,3.64,405500
21-Dec-15,3.58,3.65,3.55,3.58,130500
18-Dec-15,3.77,3.77,3.57,3.58,74000
17-Dec-15,3.81,3.89,3.77,3.83,38700
16-Dec-15,3.80,3.84,3.77,3.78,26400
15-Dec-15,3.85,3.90,3.84,3.86,15200
14-Dec-15,3.90,3.93,3.83,3.83,21300
11-Dec-15,3.89,3.91,3.86,3.91,11700
10-Dec-15,3.84,3.89,3.79,3.89,60800
9-Dec-15,3.91,3.92,3.83,3.85,158600
8-Dec-15,4.02,4.02,3.91,3.92,61200
7-Dec-15,4.06,4.06,3.98,4.04,33400
4-Dec-15,4.04,4.07,3.98,4.02,55200
3-Dec-15,3.99,4.08,3.97,4.05,68600
2-Dec-15,3.86,3.98,3.82,3.98,45600
1-Dec-15,4.05,4.05,3.77,3.80,96400
30-Nov-15,4.02,4.05,3.94,4.00,66600
27-Nov-15,4.06,4.06,3.94,4.02,53700
26-Nov-15,4.06,4.10,4.06,4.06,68900
25-Nov-15,3.98,4.06,3.91,4.06,71400
24-Nov-15,4.02,4.05,3.92,3.97,58300
23-Nov-15,4.09,4.13,4.01,4.01,217100
19-Nov-15,4.04,4.10,4.03,4.09,21200
18-Nov-15,4.06,4.06,4.01,4.05,25900
17-Nov-15,4.10,4.10,3.95,4.02,158600
16-Nov-15,4.05,4.12,4.03,4.11,199400
13-Nov-15,4.05,4.08,4.01,4.04,35200
12-Nov-15,3.99,4.08,3.99,4.04,36100
11-Nov-15,3.90,4.03,3.90,4.00,123000
10-Nov-15,3.90,3.90,3.88,3.88,36100
9-Nov-15,3.92,3.95,3.89,3.91,74400
6-Nov-15,3.95,3.95,3.89,3.93,57900
5-Nov-15,3.92,3.97,3.90,3.91,91600
4-Nov-15,4.10,4.22,3.85,3.92,859900
3-Nov-15,4.11,4.19,4.02,4.14,186200
30-Oct-15,4.09,4.15,4.05,4.12,71300
29-Oct-15,4.19,4.19,4.08,4.09,166100
28-Oct-15,4.26,4.30,4.17,4.20,95400
27-Oct-15,4.35,4.35,4.25,4.32,28300
26-Oct-15,4.24,4.34,4.24,4.34,19100
23-Oct-15,4.33,4.35,4.25,4.25,71500
22-Oct-15,4.10,4.27,4.09,4.27,52100
21-Oct-15,4.17,4.20,4.00,4.00,84600
20-Oct-15,4.32,4.32,4.16,4.24,43300
19-Oct-15,4.28,4.35,4.27,4.35,17600
16-Oct-15,4.30,4.32,4.21,4.29,138500
15-Oct-15,4.34,4.37,4.26,4.26,39000
14-Oct-15,4.37,4.43,4.30,4.31,177900
13-Oct-15,4.29,4.47,4.29,4.40,42100
9-Oct-15,4.32,4.37,4.22,4.32,74900
8-Oct-15,4.49,4.50,4.35,4.35,25500
7-Oct-15,4.42,4.49,4.27,4.44,227000
6-Oct-15,4.45,4.52,4.34,4.42,48200
5-Oct-15,4.32,4.50,4.32,4.45,171500
2-Oct-15,4.48,4.48,4.32,4.32,320500
1-Oct-15,4.30,4.49,4.25,4.47,471600
30-Sep-15,4.14,4.25,4.14,4.25,120900
