Date,Open,High,Low,Close,Volume
29-Apr-16,21.59,21.94,19.42,20.57,9133800
28-Apr-16,22.10,22.11,21.21,21.40,1905700
27-Apr-16,21.80,22.10,21.74,21.97,1476800
26-Apr-16,21.55,21.73,21.32,21.73,1453200
25-Apr-16,21.87,21.87,21.31,21.35,1215500
22-Apr-16,21.67,21.99,21.54,21.72,1380100
20-Apr-16,21.67,22.08,21.46,21.90,1914500
19-Apr-16,22.27,22.41,21.65,21.65,1762800
18-Apr-16,22.40,22.50,21.95,22.27,1464600
15-Apr-16,22.19,22.50,21.99,22.30,1904200
14-Apr-16,21.70,22.09,21.39,21.82,2072300
13-Apr-16,21.26,22.04,21.24,21.39,2533100
12-Apr-16,21.20,21.60,20.94,21.08,2030600
11-Apr-16,22.42,22.87,20.98,21.06,1779800
8-Apr-16,23.35,23.35,22.11,22.19,2858600
7-Apr-16,22.55,22.96,22.45,22.71,1716100
6-Apr-16,22.63,22.87,22.32,22.32,1630300
5-Apr-16,23.17,23.24,22.79,22.99,1093500
4-Apr-16,23.38,23.38,22.89,23.14,971600
1-Apr-16,23.60,23.83,23.20,23.42,1940200
31-Mar-16,23.98,23.98,23.42,23.85,2372600
30-Mar-16,24.13,24.15,23.81,24.00,1284000
29-Mar-16,23.63,24.15,23.60,24.06,1765000
28-Mar-16,23.80,23.98,23.39,23.51,1174400
24-Mar-16,23.17,23.68,23.16,23.66,1410700
23-Mar-16,23.50,23.78,23.08,23.37,1572100
22-Mar-16,23.10,23.44,22.91,23.44,1891400
21-Mar-16,22.78,23.15,22.77,23.05,1597100
18-Mar-16,22.79,22.89,22.50,22.75,2859800
17-Mar-16,22.56,23.11,21.92,22.68,6641300
16-Mar-16,23.47,23.64,23.23,23.42,2226600
15-Mar-16,22.55,23.43,22.55,23.42,4064300
14-Mar-16,22.57,22.92,22.18,22.53,2103400
11-Mar-16,22.20,22.59,22.00,22.50,3294400
10-Mar-16,23.55,23.88,21.91,21.96,7634900
9-Mar-16,23.82,24.23,23.16,23.42,2765100
8-Mar-16,24.15,24.24,23.12,23.65,3658700
7-Mar-16,23.80,24.25,23.39,23.98,3106300
